timestamp_raw,timestamp_iso,price,volume
Dec 08 2015 01: +0,,3.168,38480
Dec 09 2015 01: +0,,3.008,47185
Dec 10 2015 01: +0,,3.304,50106
Dec 11 2015 01: +0,,3.475,44144
Dec 12 2015 01: +0,,3.343,46760
Dec 13 2015 01: +0,,3.31,45173
Dec 14 2015 01: +0,,3.515,34952
Dec 15 2015 01: +0,,3.395,36627
Dec 16 2015 01: +0,,3.41,36911
Dec 17 2015 01: +0,,3.798,27517
Dec 18 2015 01: +0,,3.908,31515
Dec 19 2015 01: +0,,3.47,36291
Dec 20 2015 01: +0,,3.35,34296
Dec 21 2015 01: +0,,3.896,31276
Dec 22 2015 01: +0,,3.844,33116
Dec 23 2015 01: +0,,3.426,40226
Dec 24 2015 01: +0,,3.826,38276
Dec 25 2015 01: +0,,4.197,41402
Dec 26 2015 01: +0,,3.713,53271
Dec 27 2015 01: +0,,3.505,45442
Dec 28 2015 01: +0,,3.638,40564
Dec 29 2015 01: +0,,3.723,37573
Dec 30 2015 01: +0,,3.734,36441
Dec 31 2015 01: +0,,3.23,52900
Jan 01 2016 01: +0,,3.268,65344
Jan 02 2016 01: +0,,3.546,46759
Jan 03 2016 01: +0,,3.576,42976
Jan 04 2016 01: +0,,3.376,39366
Jan 05 2016 01: +0,,3.892,33897
Jan 06 2016 01: +0,,3.914,32144
Jan 07 2016 01: +0,,3.803,40498
Jan 08 2016 01: +0,,3.809,47633
Jan 09 2016 01: +0,,3.881,60611
Jan 10 2016 01: +0,,4.695,37719
Jan 11 2016 01: +0,,4.532,31855
Jan 12 2016 01: +0,,4.734,40567
Jan 13 2016 01: +0,,4.823,44553
Jan 14 2016 01: +0,,5.025,36510
Jan 15 2016 01: +0,,5.03,43292
Jan 16 2016 01: +0,,5.008,49798
Jan 17 2016 01: +0,,5.098,42042
Jan 18 2016 01: +0,,4.893,34367
Jan 19 2016 01: +0,,5.228,30935
Jan 20 2016 01: +0,,5.262,28906
Jan 21 2016 01: +0,,5.124,29728
Jan 22 2016 01: +0,,5.336,29534
Jan 23 2016 01: +0,,5.712,31194
Jan 24 2016 01: +0,,5.33,31351
Jan 25 2016 01: +0,,5.64,33454
Jan 26 2016 01: +0,,5.689,32137
Jan 27 2016 01: +0,,5.697,30450
Jan 28 2016 01: +0,,5.525,25736
Jan 29 2016 01: +0,,5.538,32153
Jan 30 2016 01: +0,,5.744,35460
Jan 31 2016 01: +0,,5.666,33441
Feb 01 2016 01: +0,,5.503,31922
Feb 02 2016 01: +0,,5.409,28713
Feb 03 2016 01: +0,,5.548,25243
Feb 04 2016 01: +0,,5.797,27144
Feb 05 2016 01: +0,,5.786,33699
Feb 06 2016 01: +0,,5.35,36893
Feb 07 2016 01: +0,,5.094,33042
Feb 08 2016 01: +0,,5.094,26295
Feb 09 2016 01: +0,,5.07,25321
Feb 10 2016 01: +0,,5.001,24433
Feb 11 2016 01: +0,,5.082,24730
Feb 12 2016 01: +0,,5.037,25255
Feb 13 2016 01: +0,,5.189,26446
Feb 14 2016 01: +0,,5.365,31185
Feb 15 2016 01: +0,,5.576,21964
Feb 16 2016 01: +0,,5.808,22726
Feb 17 2016 01: +0,,5.612,22640
Feb 18 2016 01: +0,,5.385,47550
Feb 19 2016 01: +0,,5.411,28045
Feb 20 2016 01: +0,,5.245,30451
Feb 21 2016 01: +0,,5.133,28856
Feb 22 2016 01: +0,,5.141,27389
Feb 23 2016 01: +0,,5.454,22254
Feb 24 2016 01: +0,,5.86,25412
Feb 25 2016 01: +0,,5.681,28391
Feb 26 2016 01: +0,,5.856,25248
Feb 27 2016 01: +0,,6.016,33858
Feb 28 2016 01: +0,,6.039,23669
Feb 29 2016 01: +0,,5.956,30319
Mar 01 2016 01: +0,,6.064,25665
Mar 02 2016 01: +0,,5.89,28224
Mar 03 2016 01: +0,,5.707,29040
Mar 04 2016 01: +0,,5.799,26407
Mar 05 2016 01: +0,,6.04,28810
Mar 06 2016 01: +0,,5.804,24861
Mar 07 2016 01: +0,,5.955,21294
Mar 08 2016 01: +0,,5.819,21357
Mar 09 2016 01: +0,,5.706,16815
Mar 10 2016 01: +0,,6.379,17893
Mar 11 2016 01: +0,,6.969,18181
Mar 12 2016 01: +0,,7.271,27113
Mar 13 2016 01: +0,,7.035,25081
Mar 14 2016 01: +0,,8.0,115500
Mar 15 2016 01: +0,,10.443,52393
Mar 16 2016 01: +0,,10.034,26737
Mar 17 2016 01: +0,,10.279,23496
Mar 18 2016 01: +0,,10.301,22007
Mar 19 2016 01: +0,,10.374,21541
Mar 20 2016 01: +0,,10.17,19997
Mar 21 2016 01: +0,,9.985,16253
Mar 22 2016 01: +0,,9.858,16019
Mar 23 2016 01: +0,,9.544,15545
Mar 24 2016 01: +0,,9.763,19439
Mar 25 2016 01: +0,,9.707,17953
Mar 26 2016 01: +0,,9.752,16905
Mar 27 2016 01: +0,,9.251,18336
Mar 28 2016 01: +0,,9.047,14600
Mar 29 2016 01: +0,,8.995,15775
Mar 30 2016 01: +0,,8.816,15597
Mar 31 2016 01: +0,,8.937,17751
Apr 01 2016 01: +0,,9.489,21081
Apr 02 2016 01: +0,,9.705,19345
Apr 03 2016 01: +0,,8.826,28956
Apr 04 2016 01: +0,,9.683,22226
Apr 05 2016 01: +0,,10.149,18316
Apr 06 2016 01: +0,,10.361,16016
Apr 07 2016 01: +0,,10.255,15378
Apr 08 2016 01: +0,,10.595,18896
Apr 09 2016 01: +0,,10.367,17867
Apr 10 2016 01: +0,,10.171,19353
Apr 11 2016 01: +0,,10.054,14893
Apr 12 2016 01: +0,,10.531,15710
Apr 13 2016 01: +0,,10.21,12794
Apr 14 2016 01: +0,,10.479,13758
Apr 15 2016 01: +0,,10.525,16213
Apr 16 2016 01: +0,,10.371,16593
Apr 17 2016 01: +0,,9.806,15349
Apr 18 2016 01: +0,,9.922,14315
Apr 19 2016 01: +0,,9.838,12728
Apr 20 2016 01: +0,,10.054,12068
Apr 21 2016 01: +0,,9.871,12199
Apr 22 2016 01: +0,,9.793,13117
Apr 23 2016 01: +0,,10.035,14327
Apr 24 2016 01: +0,,9.554,14513
Apr 25 2016 01: +0,,9.833,14732
Apr 26 2016 01: +0,,9.632,12411
Apr 27 2016 01: +0,,10.023,13897
Apr 28 2016 01: +0,,9.322,16057
Apr 29 2016 01: +0,,10.006,21522
Apr 30 2016 01: +0,,10.117,19004
May 01 2016 01: +0,,9.607,17104
May 02 2016 01: +0,,9.601,15186
May 03 2016 01: +0,,9.746,14049
May 04 2016 01: +0,,9.561,13919
May 05 2016 01: +0,,9.632,13807
May 06 2016 01: +0,,9.733,14507
May 07 2016 01: +0,,9.401,13891
May 08 2016 01: +0,,9.419,14464
May 09 2016 01: +0,,8.937,11487
May 10 2016 01: +0,,9.317,11325
May 11 2016 01: +0,,9.097,11791
May 12 2016 01: +0,,9.04,12076
May 13 2016 01: +0,,9.155,12517
May 14 2016 01: +0,,8.847,16113
May 15 2016 01: +0,,8.501,13517
May 16 2016 01: +0,,8.342,11219
May 17 2016 01: +0,,7.931,11483
May 18 2016 01: +0,,7.94,9425
May 19 2016 01: +0,,8.099,11074
May 20 2016 01: +0,,7.947,10710
May 21 2016 01: +0,,7.813,11363
May 22 2016 01: +0,,7.918,9524
May 23 2016 01: +0,,7.707,8301
May 24 2016 01: +0,,7.812,9624
May 25 2016 01: +0,,8.001,8915
May 26 2016 01: +0,,7.75,8086
May 27 2016 01: +0,,8.102,9935
May 28 2016 01: +0,,8.127,9739
May 29 2016 01: +0,,7.825,9321
May 30 2016 01: +0,,7.636,8891
May 31 2016 01: +0,,7.623,9064
Jun 01 2016 01: +0,,7.857,11297
Jun 02 2016 01: +0,,7.603,9897
Jun 03 2016 01: +0,,7.664,10500
Jun 04 2016 01: +0,,7.844,11180
Jun 05 2016 01: +0,,7.642,9767
Jun 06 2016 01: +0,,7.186,9285
